Date,Country,City,Specie,count,min,max,median,variance
1/1/2016,IN,Chandigarh,co,9,1.1,11.6,6.2,123.8
1/1/2016,IN,Chandigarh,o3,9,1.3,12.6,4.1,151.25
1/1/2016,IN,Chandigarh,so2,6,1.3,24.8,12.6,691.72
1/1/2016,IN,Chandigarh,pm25,9,106,158,151,4890
1/1/2016,IN,Chandigarh,no2,9,10.7,12.8,12.5,4.45
1/4/2016,IN,Chandigarh,co,11,6.2,23.9,9.1,336.11
1/4/2016,IN,Chandigarh,o3,11,0.9,11,6.1,151.66
1/4/2016,IN,Chandigarh,so2,11,7.8,26,14.2,259.72
1/4/2016,IN,Chandigarh,pm25,11,145,179,163,1128.18
1/4/2016,IN,Chandigarh,no2,11,9.2,11.7,10.7,11.31
1/5/2016,IN,Chandigarh,co,20,2.8,23.2,9.6,352.14
1/5/2016,IN,Chandigarh,o3,20,0.9,17.1,4.1,153.51
1/5/2016,IN,Chandigarh,so2,18,5.3,50.9,14.2,1320.78
1/5/2016,IN,Chandigarh,pm25,20,38,152,90,7067.37
1/5/2016,IN,Chandigarh,no2,20,9.2,9.9,9.6,0.31
1/6/2016,IN,Chandigarh,co,4,2.6,9.8,2.6,127.3
1/6/2016,IN,Chandigarh,o3,5,2.9,23.6,6.5,1009.55
1/6/2016,IN,Chandigarh,so2,5,0.5,48.2,15.9,3879.77
1/6/2016,IN,Chandigarh,pm25,5,114,167,163,5137
1/6/2016,IN,Chandigarh,no2,5,9.2,12.5,10.7,14.45
1/7/2016,IN,Chandigarh,co,6,2.8,8,5.1,46.12
1/7/2016,IN,Chandigarh,o3,6,6.1,8.2,6.5,6.11
1/7/2016,IN,Chandigarh,so2,6,1.3,5.7,5.3,30.51
1/7/2016,IN,Chandigarh,pm25,6,156,179,169,682.67
1/7/2016,IN,Chandigarh,no2,6,10.7,11.7,11,1.58
1/8/2016,IN,Chandigarh,co,24,1.5,13.1,3.5,102.99
1/8/2016,IN,Chandigarh,o3,24,5.7,15.1,9.4,80.05
1/8/2016,IN,Chandigarh,so2,19,0.5,5.7,5.3,51.08
1/8/2016,IN,Chandigarh,pm25,24,89,166,135,4972.59
1/8/2016,IN,Chandigarh,no2,24,9.6,12.8,11.4,7.33
1/9/2016,IN,Chandigarh,co,24,0.6,21,5.1,328.05
1/9/2016,IN,Chandigarh,o3,24,7,14.3,9,47.18
1/9/2016,IN,Chandigarh,so2,7,0.5,1.7,1.7,2.06
1/9/2016,IN,Chandigarh,pm25,24,54,172,99,10340.2
1/9/2016,IN,Chandigarh,no2,24,9.2,10.7,10.3,2.39
1/10/2016,IN,Chandigarh,co,24,0.4,17,4.6,191.39
1/10/2016,IN,Chandigarh,o3,24,6.1,16.3,8.2,92.6
1/10/2016,IN,Chandigarh,so2,24,1.3,2.1,1.7,0.79
1/10/2016,IN,Chandigarh,pm25,24,106,166,148,2231.52
1/10/2016,IN,Chandigarh,no2,24,9.2,10.3,9.6,0.76
1/11/2016,IN,Chandigarh,co,18,0.2,15.4,4,234.49
1/11/2016,IN,Chandigarh,o3,19,9.4,15.1,11,33.01
1/11/2016,IN,Chandigarh,so2,19,1.7,3.3,1.7,1.83
1/11/2016,IN,Chandigarh,pm25,19,85,156,127,5316.08
1/11/2016,IN,Chandigarh,no2,19,9.2,10.7,9.9,1.14
1/12/2016,IN,Chandigarh,co,12,0.2,23.2,6,515.94
1/12/2016,IN,Chandigarh,o3,12,4.9,30.5,16.3,729.43
1/12/2016,IN,Chandigarh,so2,12,1.3,3.3,2.1,5.37
1/12/2016,IN,Chandigarh,pm25,12,106,158,138,3286.29
1/12/2016,IN,Chandigarh,no2,12,9.2,10.7,9.6,1.8
1/13/2016,IN,Chandigarh,co,24,1.1,26.8,7.6,421.16
1/13/2016,IN,Chandigarh,o3,24,4.5,17.5,9.8,105.77
1/13/2016,IN,Chandigarh,so2,24,0.9,4.1,1.3,5.89
1/13/2016,IN,Chandigarh,pm25,24,81,160,120,5484.57
1/13/2016,IN,Chandigarh,no2,24,8.8,10.3,9.6,1.44
1/14/2016,IN,Chandigarh,co,22,0.4,20.3,4.7,354.34
1/14/2016,IN,Chandigarh,o3,24,4.9,6.5,5.3,1.99
1/14/2016,IN,Chandigarh,so2,24,1.7,2.5,1.7,0.96
1/14/2016,IN,Chandigarh,pm25,19,111,160,148,3291.75
1/14/2016,IN,Chandigarh,no2,24,9.2,10.7,9.6,1.46
1/15/2016,IN,Chandigarh,co,21,0.8,29.7,4.2,530.16
1/15/2016,IN,Chandigarh,o3,24,4.9,7.4,5.7,6.07
1/15/2016,IN,Chandigarh,so2,24,1.7,2.1,2.1,0.28
1/15/2016,IN,Chandigarh,no2,24,9.2,10.3,9.6,0.96
1/16/2016,IN,Chandigarh,co,23,0.2,28.2,4.6,310.16
1/16/2016,IN,Chandigarh,o3,24,6.1,10.6,7.8,12.27
1/16/2016,IN,Chandigarh,so2,24,1.3,2.1,1.3,0.95
1/16/2016,IN,Chandigarh,no2,24,9.6,10.7,9.9,0.77
1/17/2016,IN,Chandigarh,co,24,0.2,17.6,7.3,264.44
1/17/2016,IN,Chandigarh,o3,24,4.9,14.3,7.4,83.23
1/17/2016,IN,Chandigarh,so2,24,1.3,2.9,1.7,2.34
1/17/2016,IN,Chandigarh,no2,24,9.2,10.7,9.9,1.26
