Date,Country,City,Specie,count,min,max,median,variance
1/1/2018,IN,Chennai,co,74,2.9,21.7,9.3,135.95
1/1/2018,IN,Chennai,o3,56,1.3,35.4,10.2,1214.81
1/1/2018,IN,Chennai,no2,74,0.8,19.6,6.1,101.02
1/1/2018,IN,Chennai,so2,72,0.5,37.5,2.1,421.74
1/1/2018,IN,Chennai,pm25,91,56,180,129,9463.04
1/2/2018,IN,Chennai,co,96,3.3,17.6,8,163.86
1/2/2018,IN,Chennai,o3,72,1.3,33.4,4.5,719.5
1/2/2018,IN,Chennai,no2,96,1.1,15.4,6.6,86.11
1/2/2018,IN,Chennai,so2,96,0.9,37.5,2.9,507.8
1/2/2018,IN,Chennai,pm25,120,13,834,145,83562.7
1/3/2018,IN,Chennai,co,96,2.4,18.8,10,204.19
1/3/2018,IN,Chennai,o3,72,1.3,42.5,3.3,1712.42
1/3/2018,IN,Chennai,no2,96,4.4,23.2,7,121.67
1/3/2018,IN,Chennai,so2,93,1.3,54.3,3.3,1594.63
1/3/2018,IN,Chennai,pm25,120,40,781,135,81031.3
1/4/2018,IN,Chennai,co,96,2.4,20.3,6.7,147.14
1/4/2018,IN,Chennai,o3,72,1.3,57.4,13,3066.42
1/4/2018,IN,Chennai,no2,96,4.3,22.9,8,135.79
1/4/2018,IN,Chennai,so2,92,0.5,51.5,3.3,752.19
1/4/2018,IN,Chennai,pm25,120,111,834,157,126212
1/5/2018,IN,Chennai,co,96,2.4,19.6,6.7,156.69
1/5/2018,IN,Chennai,o3,72,1.7,32.2,12.4,631.08
1/5/2018,IN,Chennai,no2,96,2.6,20.4,7.7,120.46
1/5/2018,IN,Chennai,so2,95,0.5,32,4.8,706.84
1/5/2018,IN,Chennai,pm25,120,129,327,156,8556.72
1/6/2018,IN,Chennai,co,87,2.4,86.4,6.6,804.67
1/6/2018,IN,Chennai,o3,63,1.7,63.1,15.1,3079.86
1/6/2018,IN,Chennai,no2,86,0.5,20.1,7.7,110.92
1/6/2018,IN,Chennai,so2,87,0.5,69.3,8.2,3045.04
1/6/2018,IN,Chennai,pm25,111,101,253,157,4125.44
1/7/2018,IN,Chennai,co,94,2,16.1,4.9,118.77
1/7/2018,IN,Chennai,o3,72,0.9,60.2,18.3,3735.83
1/7/2018,IN,Chennai,no2,89,2.2,17.4,7.6,127.75
1/7/2018,IN,Chennai,so2,92,0.5,63.5,4.9,1715.88
1/7/2018,IN,Chennai,pm25,120,33,222,152,7095.21
1/8/2018,IN,Chennai,co,88,2.9,86.4,6.7,1947.11
1/8/2018,IN,Chennai,o3,66,0.5,65.7,16.3,4226.16
1/8/2018,IN,Chennai,no2,91,3.1,15.2,7.7,125.44
1/8/2018,IN,Chennai,so2,89,1.3,60.1,5.3,950.13
1/8/2018,IN,Chennai,pm25,115,10,834,156,58848.6
1/9/2018,IN,Chennai,co,74,2.4,17,6,114.79
1/9/2018,IN,Chennai,o3,51,5.3,36.6,22.1,529.47
1/9/2018,IN,Chennai,no2,75,1,15.4,7.3,73.52
1/9/2018,IN,Chennai,so2,75,2.1,67.5,7.8,2436.72
1/9/2018,IN,Chennai,pm25,99,93,261,148,4523.43
1/10/2018,IN,Chennai,co,96,2.4,31.1,9.3,526.58
1/10/2018,IN,Chennai,o3,72,1.7,19.2,7,288.31
1/10/2018,IN,Chennai,no2,96,0.7,14.7,7,102.09
1/10/2018,IN,Chennai,so2,96,2.1,45.1,4.1,609.99
1/10/2018,IN,Chennai,pm25,114,76,231,157,9515.6
1/11/2018,IN,Chennai,co,96,2.4,21.7,9.4,237.05
1/11/2018,IN,Chennai,o3,72,2.1,34.3,6.1,1271.81
1/11/2018,IN,Chennai,no2,96,0.9,34.5,7.9,291.06
1/11/2018,IN,Chennai,so2,96,0.5,52.4,2.9,820.97
1/11/2018,IN,Chennai,pm25,118,99,345,161,12297.5
1/12/2018,IN,Chennai,co,96,2.4,21.7,10.1,262.7
1/12/2018,IN,Chennai,o3,72,1.7,73.5,5.7,3780.81
1/12/2018,IN,Chennai,no2,96,1.5,32.6,8.2,221.44
1/12/2018,IN,Chennai,so2,96,0.2,53.7,3,1037.63
1/12/2018,IN,Chennai,pm25,117,109,275,159,7617.66
1/13/2018,IN,Chennai,co,94,2.2,29.7,12.4,300.61
1/13/2018,IN,Chennai,o3,70,1.7,40.9,4.4,727.92
1/13/2018,IN,Chennai,no2,94,3.3,37.1,8.5,340.83
1/13/2018,IN,Chennai,so2,90,0.5,92.5,4.9,2785.69
1/13/2018,IN,Chennai,pm25,112,75,834,157,205487
1/14/2018,IN,Chennai,co,96,2,20.3,9.4,233.21
1/14/2018,IN,Chennai,o3,72,1.3,39.8,6.5,1802.1
1/14/2018,IN,Chennai,no2,96,1.5,22.7,6,153.6
1/14/2018,IN,Chennai,so2,94,0.5,90.8,3.3,3604.44
1/14/2018,IN,Chennai,pm25,120,93,408,158,14966
1/15/2018,IN,Chennai,co,96,2,18.8,9.3,178.24
1/15/2018,IN,Chennai,o3,72,2.1,60.7,7.8,3223.82
1/15/2018,IN,Chennai,no2,94,0.6,15.5,5.9,64.21
1/15/2018,IN,Chennai,so2,94,1.3,85.9,3.9,2128.97
1/15/2018,IN,Chennai,pm25,120,94,239,157,2415.66
1/16/2018,IN,Chennai,co,94,2.4,16.7,9.3,157.21
1/16/2018,IN,Chennai,o3,72,0.5,48.7,10.6,2783.36
1/16/2018,IN,Chennai,no2,93,0.4,10.7,5.9,46.43
1/16/2018,IN,Chennai,so2,94,0.9,43.6,4.1,487.79
1/16/2018,IN,Chennai,pm25,120,8,292,159,5289.93
1/17/2018,IN,Chennai,co,96,2.4,16.5,8.5,185.72
1/17/2018,IN,Chennai,o3,72,1.3,44.5,8.2,1757.83
1/17/2018,IN,Chennai,no2,96,2.6,23.8,7,169.04
1/17/2018,IN,Chennai,so2,96,0.9,68.9,3.7,2798.74
1/17/2018,IN,Chennai,pm25,120,5,392,158,17470.5
1/18/2018,IN,Chennai,co,94,2,19.8,7.1,167.73
1/18/2018,IN,Chennai,o3,72,0.9,47.8,9.8,3020.74
1/18/2018,IN,Chennai,no2,82,3.3,24.1,8.8,265.28
1/18/2018,IN,Chennai,so2,95,0.9,75.6,4.3,2601.83
1/18/2018,IN,Chennai,pm25,120,67,605,152,44986.4
1/19/2018,IN,Chennai,co,96,2.6,14.7,5.7,85.64
1/19/2018,IN,Chennai,o3,72,1.3,64.7,18.7,4345.18
1/19/2018,IN,Chennai,no2,96,3.7,23.5,9.2,189.29
1/19/2018,IN,Chennai,so2,96,1.7,71.2,9,2985.16
1/19/2018,IN,Chennai,pm25,120,86,387,153,23298.4
1/20/2018,IN,Chennai,co,96,2.4,15.3,5.8,90.61
1/20/2018,IN,Chennai,o3,72,1.3,63.9,16.1,3987.96
1/20/2018,IN,Chennai,no2,96,5.8,22.9,10.7,162.65
1/20/2018,IN,Chennai,so2,95,1.3,73.2,12.4,2441.72
1/20/2018,IN,Chennai,pm25,120,100,289,158,6759.93
1/21/2018,IN,Chennai,co,96,2.4,13.2,5.5,53.37
1/21/2018,IN,Chennai,o3,72,1.1,61.6,22.4,4808.52
1/21/2018,IN,Chennai,no2,96,5.9,22,9.2,126.45
1/21/2018,IN,Chennai,so2,94,1.3,61.3,11.4,2622.46
1/21/2018,IN,Chennai,pm25,120,100,445,161,27894.8
1/22/2018,IN,Chennai,co,95,2.8,20.3,5.6,85.36
1/22/2018,IN,Chennai,o3,72,1.3,46.1,9.8,2360.6
1/22/2018,IN,Chennai,no2,95,2.6,23.4,9.5,164.24
1/22/2018,IN,Chennai,so2,92,0.5,44.9,4.9,785.18
1/22/2018,IN,Chennai,pm25,119,11,268,156,12368.1
1/23/2018,IN,Chennai,co,88,2.9,16.1,5.5,47.89
1/23/2018,IN,Chennai,o3,66,0.9,49.5,9,2708.7
1/23/2018,IN,Chennai,no2,89,1.5,22.7,8.8,156.24
1/23/2018,IN,Chennai,so2,90,1.7,19.1,4.1,106.82
1/23/2018,IN,Chennai,pm25,114,28,810,144,65271.8
1/24/2018,IN,Chennai,co,95,2.4,12.9,6.6,62.04
1/24/2018,IN,Chennai,o3,71,0.9,42.2,5.3,1907.04
1/24/2018,IN,Chennai,no2,95,5.7,21.3,9,142.17
1/24/2018,IN,Chennai,so2,93,0.9,60.9,4.1,1340.34
1/24/2018,IN,Chennai,pm25,117,15,420,155,22937.3
1/25/2018,IN,Chennai,co,96,2.4,21.7,7.8,151.81
1/25/2018,IN,Chennai,o3,72,0.9,62.4,9.4,3476.16
1/25/2018,IN,Chennai,no2,96,5.2,22.4,8.8,137.21
1/25/2018,IN,Chennai,so2,93,0.5,37.1,4.1,500.04
1/25/2018,IN,Chennai,pm25,120,65,387,163,14874.4
1/26/2018,IN,Chennai,co,96,2.8,20.3,7,185.1
1/26/2018,IN,Chennai,o3,72,0.6,62.9,18.7,3941.03
1/26/2018,IN,Chennai,no2,96,5.2,22.4,7.7,135.43
1/26/2018,IN,Chennai,so2,96,1.7,20.3,3.7,39.18
1/26/2018,IN,Chennai,pm25,120,96,245,157,4183.83
1/27/2018,IN,Chennai,co,96,3.1,86.4,9.3,749.53
1/27/2018,IN,Chennai,o3,72,0.9,136.3,16.7,4547.35
1/27/2018,IN,Chennai,no2,96,5.2,23.7,7.7,159.39
1/27/2018,IN,Chennai,so2,95,1.3,9,3.7,27.71
1/27/2018,IN,Chennai,pm25,120,50,230,160,4327.03
1/28/2018,IN,Chennai,co,96,2.8,16.7,7.6,129.75
1/28/2018,IN,Chennai,o3,72,0.9,56.7,19.6,3275.94
1/28/2018,IN,Chennai,no2,96,4.4,22.7,7.7,160.49
1/28/2018,IN,Chennai,so2,96,0.9,11.9,3.6,34.06
1/28/2018,IN,Chennai,pm25,120,94,351,155,8048.43
1/29/2018,IN,Chennai,co,95,2.4,21,7.9,176.33
1/29/2018,IN,Chennai,o3,71,2.1,59.5,17.9,3757.6
1/29/2018,IN,Chennai,no2,95,4.1,22.7,8.1,149.22
1/29/2018,IN,Chennai,so2,95,0.9,12.6,4.1,47.75
1/29/2018,IN,Chennai,pm25,119,98,322,157,9038.64
1/30/2018,IN,Chennai,co,96,2.7,19.6,7.3,187.27
1/30/2018,IN,Chennai,o3,72,0.6,61.1,15.5,3712.62
1/30/2018,IN,Chennai,no2,96,3.3,23.8,11,189.23
1/30/2018,IN,Chennai,so2,96,2.1,43.6,4.9,657.59
1/30/2018,IN,Chennai,pm25,119,76,345,153,13840.7
1/31/2018,IN,Chennai,co,89,2.4,22.5,7.2,218.11
1/31/2018,IN,Chennai,o3,72,0.9,78.7,8.2,6708.35
1/31/2018,IN,Chennai,no2,88,4.8,44.8,11.7,473.07
1/31/2018,IN,Chennai,so2,89,2.1,67.3,4.5,1805.6
1/31/2018,IN,Chennai,pm25,112,70,412,155,13650.3
2/1/2018,IN,Chennai,co,84,2.4,42,6.5,573.89
2/1/2018,IN,Chennai,o3,71,0.5,57.9,4.1,3669.92
2/1/2018,IN,Chennai,no2,81,1.5,28.9,10.7,345.13
2/1/2018,IN,Chennai,so2,83,0.9,62,4.9,1685.54
2/1/2018,IN,Chennai,pm25,106,3,242,154,15352.2
2/2/2018,IN,Chennai,co,82,2.8,36.9,7.3,481.57
2/2/2018,IN,Chennai,o3,60,0.5,98,2.1,9036.8
2/2/2018,IN,Chennai,no2,83,0.4,25,7.4,315.05
2/2/2018,IN,Chennai,so2,84,1.3,13,4.1,100.08
2/2/2018,IN,Chennai,pm25,108,85,286,158,13510.1
2/3/2018,IN,Chennai,co,70,3,20.3,6,96.56
2/3/2018,IN,Chennai,o3,46,0.5,44.2,13.5,2551.68
2/3/2018,IN,Chennai,no2,70,2.6,24.8,7.4,252.18
2/3/2018,IN,Chennai,so2,70,0.9,7.6,3,18.78
2/3/2018,IN,Chennai,pm25,94,64,403,114,37844.4
2/4/2018,IN,Chennai,co,90,2.4,86.4,5.3,1530.03
