Date,Country,City,Specie,count,min,max,median,variance
1/1/2017,IN,Bengaluru,pm25,24,13,152,100,17254.2
1/1/2017,IN,Bengaluru,no2,88,4.1,60,12.5,2019.52
1/1/2017,IN,Bengaluru,co,88,1,14.3,9.2,79.26
1/1/2017,IN,Bengaluru,pm10,39,25,88,68,3862.19
1/1/2017,IN,Bengaluru,o3,49,3.7,38.5,18.3,1198.84
1/1/2017,IN,Bengaluru,so2,88,0.5,7.3,1.7,30.51
1/2/2017,IN,Bengaluru,pm25,48,18,150,78,8606.91
1/2/2017,IN,Bengaluru,no2,108,3.3,95.4,12.1,2799.97
1/2/2017,IN,Bengaluru,co,107,0.4,34,9.1,185.43
1/2/2017,IN,Bengaluru,pm10,40,19,109,59,5767.94
1/2/2017,IN,Bengaluru,o3,66,2.1,41.8,13.5,1412.78
1/2/2017,IN,Bengaluru,so2,102,0.1,10.2,1.3,48.03
1/3/2017,IN,Bengaluru,pm25,76,40,155,84,8226.53
1/3/2017,IN,Bengaluru,no2,115,1.9,87.9,14.7,2461.72
1/3/2017,IN,Bengaluru,co,113,0.8,15.9,9.1,87.77
1/3/2017,IN,Bengaluru,pm10,39,10,98,63,5654.67
1/3/2017,IN,Bengaluru,o3,72,2.9,35,12.8,1339.52
1/3/2017,IN,Bengaluru,so2,114,0.5,11,1.3,52.04
1/4/2017,IN,Bengaluru,pm25,96,52,159,97,10513.6
1/4/2017,IN,Bengaluru,no2,131,1.3,74.5,13.2,1716.72
1/4/2017,IN,Bengaluru,co,132,0.4,23.2,8.9,105.87
1/4/2017,IN,Bengaluru,pm10,33,15,98,75,5356.1
1/4/2017,IN,Bengaluru,o3,72,2.9,58.5,19.9,2531.08
1/4/2017,IN,Bengaluru,so2,130,0.5,7.8,1.3,25.99
1/5/2017,IN,Bengaluru,pm25,96,53,154,98,7249.55
1/5/2017,IN,Bengaluru,no2,138,2.2,74.5,11.7,1722
1/5/2017,IN,Bengaluru,co,137,0.2,16.7,8.9,90.81
1/5/2017,IN,Bengaluru,pm10,40,36,99,68,3313.1
1/5/2017,IN,Bengaluru,o3,72,2.9,40.3,19.5,1475.37
1/5/2017,IN,Bengaluru,so2,136,0.5,6.1,1.3,18.31
1/6/2017,IN,Bengaluru,pm25,96,23,168,112,10428.1
1/6/2017,IN,Bengaluru,no2,136,2.6,102.1,11.7,3186.11
1/6/2017,IN,Bengaluru,co,135,0.2,34,8.9,230.54
1/6/2017,IN,Bengaluru,pm10,38,30,128,64,6357.04
1/6/2017,IN,Bengaluru,o3,72,2.9,51.7,16.7,1672.57
1/6/2017,IN,Bengaluru,so2,136,0.5,11.8,1.3,26.39
1/7/2017,IN,Bengaluru,pm25,96,70,176,126,9569.58
1/7/2017,IN,Bengaluru,no2,127,2.2,108.3,11.7,3497.07
1/7/2017,IN,Bengaluru,co,125,0.8,63.6,9.1,419.54
1/7/2017,IN,Bengaluru,pm10,32,36,143,76,7342.41
1/7/2017,IN,Bengaluru,o3,72,3.7,82.9,18.3,5116.15
1/7/2017,IN,Bengaluru,so2,128,0.5,53.1,1.3,625.53
1/8/2017,IN,Bengaluru,pm25,90,28,163,112,8235.65
1/8/2017,IN,Bengaluru,no2,133,0.3,67.5,9.6,1573.56
1/8/2017,IN,Bengaluru,co,131,0.2,16.1,8.9,103.89
1/8/2017,IN,Bengaluru,pm10,45,20,104,78,4314.01
1/8/2017,IN,Bengaluru,o3,66,7.4,47.7,20.4,1119.03
1/8/2017,IN,Bengaluru,so2,134,0.2,20.2,1.7,48.89
1/9/2017,IN,Bengaluru,pm25,93,23,169,108,8289.97
1/9/2017,IN,Bengaluru,no2,128,2.2,105.1,12,3554.58
1/9/2017,IN,Bengaluru,co,128,0.6,55.8,9,400.07
1/9/2017,IN,Bengaluru,pm10,32,20,141,64,9418.55
1/9/2017,IN,Bengaluru,o3,69,3.2,54.2,19.9,2123.47
1/9/2017,IN,Bengaluru,so2,127,0.3,216.6,1.7,30413.8
1/10/2017,IN,Bengaluru,pm25,71,5,421,117,45970.7
1/10/2017,IN,Bengaluru,no2,131,2.2,70.2,13.9,1706.43
1/10/2017,IN,Bengaluru,co,128,0.6,34.7,7.6,249.25
1/10/2017,IN,Bengaluru,pm10,38,27,113,75,4731.18
