Date,Country,City,Specie,Value
1/1/2018,IN,Nagpur,co,8.7
1/1/2018,IN,Nagpur,pm10,99
1/1/2018,IN,Nagpur,o3,11.4
1/1/2018,IN,Nagpur,so2,9.4
1/1/2018,IN,Nagpur,pm25,173
1/1/2018,IN,Nagpur,no2,11.7
1/2/2018,IN,Nagpur,co,9.1
1/2/2018,IN,Nagpur,pm10,94
1/2/2018,IN,Nagpur,o3,9.9
1/2/2018,IN,Nagpur,so2,7.4
1/2/2018,IN,Nagpur,pm25,170
1/2/2018,IN,Nagpur,no2,11.7
1/3/2018,IN,Nagpur,co,12.7
1/3/2018,IN,Nagpur,pm10,78
1/3/2018,IN,Nagpur,o3,7.8
1/3/2018,IN,Nagpur,so2,4.9
1/3/2018,IN,Nagpur,pm25,161
1/3/2018,IN,Nagpur,no2,24.2
1/4/2018,IN,Nagpur,co,7.6
1/4/2018,IN,Nagpur,pm10,83
1/4/2018,IN,Nagpur,o3,10.6
1/4/2018,IN,Nagpur,so2,6.9
1/4/2018,IN,Nagpur,pm25,158
1/4/2018,IN,Nagpur,no2,16.3
1/5/2018,IN,Nagpur,co,10.2
1/5/2018,IN,Nagpur,pm10,91
1/5/2018,IN,Nagpur,o3,8.2
1/5/2018,IN,Nagpur,so2,4.5
1/5/2018,IN,Nagpur,pm25,171
1/5/2018,IN,Nagpur,no2,16.5
1/6/2018,IN,Nagpur,co,10.9
1/6/2018,IN,Nagpur,pm10,87
1/6/2018,IN,Nagpur,o3,7.8
1/6/2018,IN,Nagpur,so2,6.9
1/6/2018,IN,Nagpur,pm25,161
1/6/2018,IN,Nagpur,no2,13.2
1/7/2018,IN,Nagpur,co,6
1/7/2018,IN,Nagpur,pm10,81
1/7/2018,IN,Nagpur,o3,8.6
1/7/2018,IN,Nagpur,so2,6.1
1/7/2018,IN,Nagpur,pm25,160
1/7/2018,IN,Nagpur,no2,11.8
1/8/2018,IN,Nagpur,co,5.7
1/8/2018,IN,Nagpur,pm10,80
1/8/2018,IN,Nagpur,o3,9.4
1/8/2018,IN,Nagpur,so2,9.5
1/8/2018,IN,Nagpur,pm25,156
1/8/2018,IN,Nagpur,no2,13.2
1/9/2018,IN,Nagpur,co,6.6
1/9/2018,IN,Nagpur,pm10,84
1/9/2018,IN,Nagpur,o3,12.6
1/9/2018,IN,Nagpur,so2,9
1/9/2018,IN,Nagpur,pm25,147
1/9/2018,IN,Nagpur,no2,11.6
