Date,Country,City,Specie,Value
11/11/2019,IN,Nagpur,pressure,1013.5
11/11/2019,IN,Nagpur,dew,17
11/12/2019,IN,Nagpur,pressure,1014.5
11/12/2019,IN,Nagpur,dew,16
11/13/2019,IN,Nagpur,pressure,1016
11/13/2019,IN,Nagpur,dew,15.5
11/14/2019,IN,Nagpur,wind-speed,0.4
11/14/2019,IN,Nagpur,pressure,1016
11/14/2019,IN,Nagpur,so2,3.4
11/14/2019,IN,Nagpur,pm25,154
11/14/2019,IN,Nagpur,pm10,77
11/14/2019,IN,Nagpur,humidity,44.7
11/14/2019,IN,Nagpur,o3,3.9
11/14/2019,IN,Nagpur,no2,21.2
11/14/2019,IN,Nagpur,dew,15
11/14/2019,IN,Nagpur,co,3
11/14/2019,IN,Nagpur,temperature,22.7
11/15/2019,IN,Nagpur,wind-speed,0.3
11/15/2019,IN,Nagpur,pressure,1015
11/15/2019,IN,Nagpur,so2,1.9
11/15/2019,IN,Nagpur,pm25,133
11/15/2019,IN,Nagpur,pm10,69
11/15/2019,IN,Nagpur,humidity,41.3
11/15/2019,IN,Nagpur,o3,3.8
11/15/2019,IN,Nagpur,no2,19.8
11/15/2019,IN,Nagpur,dew,15
11/15/2019,IN,Nagpur,co,2
11/15/2019,IN,Nagpur,temperature,21.7
12/3/2019,IN,Nagpur,so2,4.2
12/3/2019,IN,Nagpur,pm25,151
12/3/2019,IN,Nagpur,pm10,76
12/3/2019,IN,Nagpur,o3,1.6
12/3/2019,IN,Nagpur,no2,36.2
12/3/2019,IN,Nagpur,co,31.7
12/4/2019,IN,Nagpur,wind-speed,0.3
12/4/2019,IN,Nagpur,pressure,1017.5
12/4/2019,IN,Nagpur,so2,1.8
12/4/2019,IN,Nagpur,pm25,122
12/4/2019,IN,Nagpur,pm10,66
12/4/2019,IN,Nagpur,humidity,61.9
12/4/2019,IN,Nagpur,o3,8
12/4/2019,IN,Nagpur,no2,11.9
12/4/2019,IN,Nagpur,dew,13.5
12/4/2019,IN,Nagpur,co,2.7
12/4/2019,IN,Nagpur,temperature,23.3
12/5/2019,IN,Nagpur,wind-speed,0.4
12/5/2019,IN,Nagpur,pressure,1019
12/5/2019,IN,Nagpur,so2,3.9
12/5/2019,IN,Nagpur,pm25,88
12/5/2019,IN,Nagpur,pm10,55
12/5/2019,IN,Nagpur,humidity,58.2
12/5/2019,IN,Nagpur,o3,15
12/5/2019,IN,Nagpur,no2,16.5
12/5/2019,IN,Nagpur,dew,8
12/5/2019,IN,Nagpur,co,3.3
12/5/2019,IN,Nagpur,temperature,22
12/6/2019,IN,Nagpur,wind-speed,0.4
12/6/2019,IN,Nagpur,pressure,1018
12/6/2019,IN,Nagpur,so2,3.9
12/6/2019,IN,Nagpur,pm25,92
12/6/2019,IN,Nagpur,pm10,61
12/6/2019,IN,Nagpur,humidity,53.2
12/6/2019,IN,Nagpur,o3,12.8
12/6/2019,IN,Nagpur,no2,18
12/6/2019,IN,Nagpur,dew,10
12/6/2019,IN,Nagpur,co,3.7
12/6/2019,IN,Nagpur,temperature,19.3
12/7/2019,IN,Nagpur,wind-speed,0.5
12/7/2019,IN,Nagpur,pressure,1017.5
12/7/2019,IN,Nagpur,so2,7.3
12/7/2019,IN,Nagpur,pm25,125
12/7/2019,IN,Nagpur,pm10,67
12/7/2019,IN,Nagpur,humidity,66
12/7/2019,IN,Nagpur,o3,14.6
12/7/2019,IN,Nagpur,no2,16.5
12/7/2019,IN,Nagpur,dew,10.5
12/7/2019,IN,Nagpur,co,2.5
12/7/2019,IN,Nagpur,temperature,19.5
12/8/2019,IN,Nagpur,wind-speed,0.3
12/8/2019,IN,Nagpur,pressure,1017
12/8/2019,IN,Nagpur,so2,4.5
12/8/2019,IN,Nagpur,pm25,151
