Date,Country,City,Specie,Value
1/1/2020,IN,Nagpur,so2,1.7
1/1/2020,IN,Nagpur,pm10,53
1/1/2020,IN,Nagpur,o3,5.7
1/1/2020,IN,Nagpur,pm25,87
1/1/2020,IN,Nagpur,no2,10.2
1/1/2020,IN,Nagpur,co,2.5
1/2/2020,IN,Nagpur,so2,2.5
1/2/2020,IN,Nagpur,pm10,51
1/2/2020,IN,Nagpur,o3,4.1
1/2/2020,IN,Nagpur,pm25,79
1/2/2020,IN,Nagpur,no2,16.4
1/2/2020,IN,Nagpur,co,3.9
1/3/2020,IN,Nagpur,so2,5.5
1/3/2020,IN,Nagpur,wind-speed,0.3
1/3/2020,IN,Nagpur,pm10,56
1/3/2020,IN,Nagpur,o3,3.7
1/3/2020,IN,Nagpur,pm25,120
1/3/2020,IN,Nagpur,no2,17.5
1/3/2020,IN,Nagpur,wind speed,0.3
1/3/2020,IN,Nagpur,co,4.8
1/3/2020,IN,Nagpur,dew,17
1/3/2020,IN,Nagpur,temperature,20
1/3/2020,IN,Nagpur,humidity,67
1/3/2020,IN,Nagpur,pressure,1016
1/4/2020,IN,Nagpur,so2,4.1
1/4/2020,IN,Nagpur,wind-speed,0.3
1/4/2020,IN,Nagpur,pm10,66
1/4/2020,IN,Nagpur,o3,3.1
1/4/2020,IN,Nagpur,pm25,136
1/4/2020,IN,Nagpur,no2,15.2
1/4/2020,IN,Nagpur,wind speed,0.3
1/4/2020,IN,Nagpur,co,5.9
1/4/2020,IN,Nagpur,dew,16
1/4/2020,IN,Nagpur,temperature,19.4
1/4/2020,IN,Nagpur,humidity,64.4
1/4/2020,IN,Nagpur,pressure,1015.5
1/5/2020,IN,Nagpur,so2,2.3
1/5/2020,IN,Nagpur,wind-speed,0.4
1/5/2020,IN,Nagpur,pm10,45
1/5/2020,IN,Nagpur,o3,8.8
1/5/2020,IN,Nagpur,pm25,84
1/5/2020,IN,Nagpur,no2,7.6
1/5/2020,IN,Nagpur,wind speed,0.4
1/5/2020,IN,Nagpur,co,1.2
1/5/2020,IN,Nagpur,dew,10.5
1/5/2020,IN,Nagpur,temperature,17.9
1/5/2020,IN,Nagpur,humidity,61.9
1/5/2020,IN,Nagpur,pressure,1017.5
1/6/2020,IN,Nagpur,so2,3.4
1/6/2020,IN,Nagpur,pm10,51
1/6/2020,IN,Nagpur,o3,5.9
1/6/2020,IN,Nagpur,pm25,81
1/6/2020,IN,Nagpur,no2,13.4
1/6/2020,IN,Nagpur,wind speed,0.4
1/6/2020,IN,Nagpur,co,3.2
1/6/2020,IN,Nagpur,dew,10.5
1/6/2020,IN,Nagpur,temperature,17.8
1/6/2020,IN,Nagpur,humidity,61.5
1/6/2020,IN,Nagpur,pressure,1019
1/7/2020,IN,Nagpur,so2,4.3
1/7/2020,IN,Nagpur,pm10,67
1/7/2020,IN,Nagpur,pm25,131
1/7/2020,IN,Nagpur,no2,24
1/7/2020,IN,Nagpur,wind speed,0.3
1/7/2020,IN,Nagpur,co,6.8
1/7/2020,IN,Nagpur,dew,14
1/7/2020,IN,Nagpur,temperature,17.2
1/7/2020,IN,Nagpur,humidity,65.3
1/7/2020,IN,Nagpur,pressure,1016.5
1/8/2020,IN,Nagpur,so2,2
1/8/2020,IN,Nagpur,pm10,70
1/8/2020,IN,Nagpur,o3,1.1
1/8/2020,IN,Nagpur,pm25,128
1/8/2020,IN,Nagpur,no2,18.7
1/8/2020,IN,Nagpur,wind speed,0.4
1/8/2020,IN,Nagpur,co,5.4
1/8/2020,IN,Nagpur,dew,16.5
1/8/2020,IN,Nagpur,temperature,19.8
1/8/2020,IN,Nagpur,humidity,65.9
1/8/2020,IN,Nagpur,pressure,1014
1/9/2020,IN,Nagpur,so2,2.2
1/9/2020,IN,Nagpur,pm10,56
1/9/2020,IN,Nagpur,o3,8.2
1/9/2020,IN,Nagpur,pm25,112
1/9/2020,IN,Nagpur,no2,15.3
1/9/2020,IN,Nagpur,wind speed,0.4
1/9/2020,IN,Nagpur,co,2.8
1/9/2020,IN,Nagpur,dew,14
1/9/2020,IN,Nagpur,temperature,19.4
1/9/2020,IN,Nagpur,humidity,65.8
1/9/2020,IN,Nagpur,pressure,1016
1/10/2020,IN,Nagpur,so2,2.2
1/10/2020,IN,Nagpur,pm10,47
1/10/2020,IN,Nagpur,o3,17.5
1/10/2020,IN,Nagpur,pm25,66
1/10/2020,IN,Nagpur,no2,16.4
1/10/2020,IN,Nagpur,wind speed,0.4
1/10/2020,IN,Nagpur,co,2.8
1/10/2020,IN,Nagpur,dew,7
1/10/2020,IN,Nagpur,temperature,18.1
1/10/2020,IN,Nagpur,humidity,61.8
1/10/2020,IN,Nagpur,pressure,1018
1/11/2020,IN,Nagpur,so2,2.7
1/11/2020,IN,Nagpur,pm10,49
1/11/2020,IN,Nagpur,o3,11.8
1/11/2020,IN,Nagpur,pm25,68
1/11/2020,IN,Nagpur,no2,17.9
1/11/2020,IN,Nagpur,wind speed,0.4
1/11/2020,IN,Nagpur,co,3
1/11/2020,IN,Nagpur,dew,6.5
1/11/2020,IN,Nagpur,temperature,16.7
1/11/2020,IN,Nagpur,humidity,58.5
1/11/2020,IN,Nagpur,pressure,1019
1/12/2020,IN,Nagpur,so2,1.7
1/12/2020,IN,Nagpur,pm10,59
1/12/2020,IN,Nagpur,o3,1.8
1/12/2020,IN,Nagpur,pm25,834
1/12/2020,IN,Nagpur,no2,17.1
1/12/2020,IN,Nagpur,wind speed,0.4
1/12/2020,IN,Nagpur,co,3.7
1/12/2020,IN,Nagpur,dew,7
1/12/2020,IN,Nagpur,temperature,16.3
1/12/2020,IN,Nagpur,humidity,57.8
1/12/2020,IN,Nagpur,pressure,1017
1/13/2020,IN,Nagpur,so2,8.1
1/13/2020,IN,Nagpur,pm10,64
1/13/2020,IN,Nagpur,o3,5.8
1/13/2020,IN,Nagpur,pm25,166
1/13/2020,IN,Nagpur,no2,37.3
1/13/2020,IN,Nagpur,wind speed,0.4
1/13/2020,IN,Nagpur,co,7.8
1/13/2020,IN,Nagpur,dew,7.5
1/13/2020,IN,Nagpur,temperature,18.5
1/13/2020,IN,Nagpur,humidity,61.4
1/13/2020,IN,Nagpur,pressure,1014
1/14/2020,IN,Nagpur,so2,5.8
1/14/2020,IN,Nagpur,pm10,70
1/14/2020,IN,Nagpur,o3,0.9
1/14/2020,IN,Nagpur,pm25,132
1/14/2020,IN,Nagpur,no2,26.8
1/14/2020,IN,Nagpur,wind speed,0.3
1/14/2020,IN,Nagpur,co,5.4
1/14/2020,IN,Nagpur,dew,10.5
1/14/2020,IN,Nagpur,temperature,17.1
1/14/2020,IN,Nagpur,humidity,57.6
1/14/2020,IN,Nagpur,pressure,1014
1/15/2020,IN,Nagpur,so2,3.3
1/15/2020,IN,Nagpur,pm10,75
1/15/2020,IN,Nagpur,o3,2.3
1/15/2020,IN,Nagpur,pm25,136
1/15/2020,IN,Nagpur,no2,18
1/15/2020,IN,Nagpur,wind speed,0.3
1/15/2020,IN,Nagpur,co,4.3
1/15/2020,IN,Nagpur,dew,15.5
1/15/2020,IN,Nagpur,temperature,18.3
1/15/2020,IN,Nagpur,humidity,56.2
1/15/2020,IN,Nagpur,pressure,1014
1/16/2020,IN,Nagpur,so2,2.3
1/16/2020,IN,Nagpur,pm10,63
1/16/2020,IN,Nagpur,o3,0.5
1/16/2020,IN,Nagpur,pm25,117
1/16/2020,IN,Nagpur,no2,17.2
1/16/2020,IN,Nagpur,wind speed,0.2
1/16/2020,IN,Nagpur,co,5.2
1/16/2020,IN,Nagpur,dew,14.5
1/16/2020,IN,Nagpur,temperature,19.4
1/16/2020,IN,Nagpur,humidity,56.1
1/16/2020,IN,Nagpur,pressure,1013.5
