Date,Country,City,Specie,Value
1/24/2017,IN,Nagpur,pm10,97
1/24/2017,IN,Nagpur,o3,5.5
1/24/2017,IN,Nagpur,so2,9.8
1/25/2017,IN,Nagpur,pm25,175
1/25/2017,IN,Nagpur,no2,13.9
1/25/2017,IN,Nagpur,co,14.9
1/25/2017,IN,Nagpur,pm10,104
1/25/2017,IN,Nagpur,o3,6.1
1/25/2017,IN,Nagpur,so2,7.9
1/26/2017,IN,Nagpur,pm25,177
1/26/2017,IN,Nagpur,no2,11.4
1/26/2017,IN,Nagpur,co,11.3
1/26/2017,IN,Nagpur,pm10,103
1/26/2017,IN,Nagpur,o3,9
1/26/2017,IN,Nagpur,so2,7.3
1/27/2017,IN,Nagpur,pm25,177
1/27/2017,IN,Nagpur,no2,12.5
1/27/2017,IN,Nagpur,co,14.9
1/27/2017,IN,Nagpur,pm10,99
1/27/2017,IN,Nagpur,o3,25.1
1/27/2017,IN,Nagpur,so2,4.9
1/28/2017,IN,Nagpur,pm25,152
1/28/2017,IN,Nagpur,no2,10.7
1/28/2017,IN,Nagpur,co,8
1/28/2017,IN,Nagpur,pm10,64
1/28/2017,IN,Nagpur,o3,28.3
1/28/2017,IN,Nagpur,so2,9.9
1/29/2017,IN,Nagpur,pm25,145
1/29/2017,IN,Nagpur,no2,7.4
1/29/2017,IN,Nagpur,co,9.4
1/29/2017,IN,Nagpur,pm10,61
1/29/2017,IN,Nagpur,o3,17.9
1/29/2017,IN,Nagpur,so2,5.3
1/30/2017,IN,Nagpur,pm25,165
1/30/2017,IN,Nagpur,no2,13.6
1/30/2017,IN,Nagpur,co,16.3
1/30/2017,IN,Nagpur,pm10,84
1/30/2017,IN,Nagpur,o3,10.8
1/30/2017,IN,Nagpur,so2,10.6
1/31/2017,IN,Nagpur,pm25,165
1/31/2017,IN,Nagpur,no2,15
1/31/2017,IN,Nagpur,co,17.4
1/31/2017,IN,Nagpur,pm10,87
1/31/2017,IN,Nagpur,o3,11.4
1/31/2017,IN,Nagpur,so2,13
2/1/2017,IN,Nagpur,pm25,160
2/1/2017,IN,Nagpur,no2,9.2
2/1/2017,IN,Nagpur,co,12.6
2/1/2017,IN,Nagpur,pm10,83
2/1/2017,IN,Nagpur,o3,13.5
2/1/2017,IN,Nagpur,so2,13.9
2/2/2017,IN,Nagpur,pm25,165
2/2/2017,IN,Nagpur,no2,10.3
2/2/2017,IN,Nagpur,co,14.1
2/2/2017,IN,Nagpur,pm10,87
2/2/2017,IN,Nagpur,o3,16.7
2/2/2017,IN,Nagpur,so2,12.2
2/3/2017,IN,Nagpur,pm25,163
2/3/2017,IN,Nagpur,no2,2.4
2/3/2017,IN,Nagpur,co,10.2
2/3/2017,IN,Nagpur,pm10,96
2/3/2017,IN,Nagpur,o3,23.2
2/3/2017,IN,Nagpur,so2,12.2
2/4/2017,IN,Nagpur,pm25,168
2/4/2017,IN,Nagpur,no2,9.9
2/4/2017,IN,Nagpur,co,9.8
2/4/2017,IN,Nagpur,pm10,95
2/4/2017,IN,Nagpur,o3,34.8
2/4/2017,IN,Nagpur,so2,8.2
2/5/2017,IN,Nagpur,pm25,175
2/5/2017,IN,Nagpur,no2,1.5
2/5/2017,IN,Nagpur,co,15.2
2/5/2017,IN,Nagpur,pm10,98
2/5/2017,IN,Nagpur,o3,9.4
2/5/2017,IN,Nagpur,so2,9.4
2/6/2017,IN,Nagpur,pm25,167
2/6/2017,IN,Nagpur,no2,6.6
2/6/2017,IN,Nagpur,co,11.6
2/6/2017,IN,Nagpur,pm10,92
2/6/2017,IN,Nagpur,o3,27.7
2/6/2017,IN,Nagpur,so2,8.2
2/7/2017,IN,Nagpur,pm25,155
2/7/2017,IN,Nagpur,no2,6.5
2/7/2017,IN,Nagpur,co,10.5
2/7/2017,IN,Nagpur,pm10,83
2/7/2017,IN,Nagpur,o3,26.9
2/7/2017,IN,Nagpur,so2,4
2/8/2017,IN,Nagpur,pm25,164
2/8/2017,IN,Nagpur,no2,3.7
2/8/2017,IN,Nagpur,co,10.4
2/8/2017,IN,Nagpur,pm10,95
2/8/2017,IN,Nagpur,o3,13.5
2/8/2017,IN,Nagpur,so2,4.9
2/9/2017,IN,Nagpur,pm25,165
2/9/2017,IN,Nagpur,no2,5.9
2/9/2017,IN,Nagpur,co,13.2
2/9/2017,IN,Nagpur,pm10,98
2/9/2017,IN,Nagpur,o3,10.7
2/9/2017,IN,Nagpur,so2,9
2/10/2017,IN,Nagpur,pm25,153
2/10/2017,IN,Nagpur,no2,7.7
2/10/2017,IN,Nagpur,co,7.8
2/10/2017,IN,Nagpur,pm10,87
2/10/2017,IN,Nagpur,o3,39
2/10/2017,IN,Nagpur,so2,13.4
2/11/2017,IN,Nagpur,pm25,160
2/11/2017,IN,Nagpur,no2,7.9
2/11/2017,IN,Nagpur,co,8.8
2/11/2017,IN,Nagpur,pm10,92
2/11/2017,IN,Nagpur,o3,46.5
2/11/2017,IN,Nagpur,so2,8.9
2/12/2017,IN,Nagpur,pm25,127
2/12/2017,IN,Nagpur,no2,8.8
2/12/2017,IN,Nagpur,co,7.3
2/12/2017,IN,Nagpur,pm10,60
2/12/2017,IN,Nagpur,o3,45.9
2/12/2017,IN,Nagpur,so2,6.3
2/13/2017,IN,Nagpur,pm25,163
2/13/2017,IN,Nagpur,no2,11.3
2/13/2017,IN,Nagpur,co,14.4
2/13/2017,IN,Nagpur,pm10,89
2/13/2017,IN,Nagpur,o3,27.7
2/13/2017,IN,Nagpur,so2,10.1
2/14/2017,IN,Nagpur,pm25,161
2/14/2017,IN,Nagpur,no2,17.9
2/14/2017,IN,Nagpur,co,10.1
2/14/2017,IN,Nagpur,pm10,106
2/14/2017,IN,Nagpur,o3,11.8
2/14/2017,IN,Nagpur,so2,7.8
2/15/2017,IN,Nagpur,pm25,167
2/15/2017,IN,Nagpur,no2,10.6
2/15/2017,IN,Nagpur,co,9.1
2/15/2017,IN,Nagpur,pm10,85
2/15/2017,IN,Nagpur,o3,41.7
2/15/2017,IN,Nagpur,so2,5.7
2/16/2017,IN,Nagpur,pm25,161
2/16/2017,IN,Nagpur,no2,6.7
2/16/2017,IN,Nagpur,co,9.2
2/16/2017,IN,Nagpur,pm10,89
2/16/2017,IN,Nagpur,o3,15.5
2/16/2017,IN,Nagpur,so2,4.1
2/17/2017,IN,Nagpur,pm25,155
2/17/2017,IN,Nagpur,no2,9.4
2/17/2017,IN,Nagpur,co,9.1
2/17/2017,IN,Nagpur,pm10,82
2/17/2017,IN,Nagpur,o3,18.3
2/17/2017,IN,Nagpur,so2,5.3
2/18/2017,IN,Nagpur,pm25,139
2/18/2017,IN,Nagpur,no2,7.5
2/18/2017,IN,Nagpur,co,5.8
2/18/2017,IN,Nagpur,pm10,68
2/18/2017,IN,Nagpur,o3,21.6
2/18/2017,IN,Nagpur,so2,3.7
2/19/2017,IN,Nagpur,pm25,123
2/19/2017,IN,Nagpur,no2,0.4
2/19/2017,IN,Nagpur,co,5.2
2/19/2017,IN,Nagpur,pm10,63
2/19/2017,IN,Nagpur,o3,23.2
2/19/2017,IN,Nagpur,so2,5
2/20/2017,IN,Nagpur,pm25,160
2/20/2017,IN,Nagpur,no2,12.1
2/20/2017,IN,Nagpur,co,14.8
2/20/2017,IN,Nagpur,pm10,89
2/20/2017,IN,Nagpur,o3,8.5
2/20/2017,IN,Nagpur,so2,6.5
2/21/2017,IN,Nagpur,pm25,140
2/21/2017,IN,Nagpur,no2,6.4
2/21/2017,IN,Nagpur,co,8.2
2/21/2017,IN,Nagpur,pm10,75
2/21/2017,IN,Nagpur,o3,22.8
2/21/2017,IN,Nagpur,so2,3.4
2/22/2017,IN,Nagpur,pm25,148
2/22/2017,IN,Nagpur,no2,7.6
2/22/2017,IN,Nagpur,co,6.6
2/22/2017,IN,Nagpur,pm10,83
2/22/2017,IN,Nagpur,o3,26.7
2/22/2017,IN,Nagpur,so2,5.1
2/23/2017,IN,Nagpur,pm25,158
2/23/2017,IN,Nagpur,no2,9.9
2/23/2017,IN,Nagpur,co,8
2/23/2017,IN,Nagpur,pm10,94
2/23/2017,IN,Nagpur,o3,17.5
2/23/2017,IN,Nagpur,so2,4.9
2/24/2017,IN,Nagpur,pm25,138
2/24/2017,IN,Nagpur,no2,8
2/24/2017,IN,Nagpur,co,4.6
2/24/2017,IN,Nagpur,pm10,70
2/24/2017,IN,Nagpur,o3,41.9
2/24/2017,IN,Nagpur,so2,4.9
2/25/2017,IN,Nagpur,pm25,103
2/25/2017,IN,Nagpur,no2,10.3
2/25/2017,IN,Nagpur,co,5.3
2/25/2017,IN,Nagpur,pm10,59
2/25/2017,IN,Nagpur,o3,43.7
2/25/2017,IN,Nagpur,so2,12.5
2/26/2017,IN,Nagpur,pm25,152
2/26/2017,IN,Nagpur,no2,15
2/26/2017,IN,Nagpur,co,5.5
2/26/2017,IN,Nagpur,pm10,67
2/26/2017,IN,Nagpur,o3,19.1
2/26/2017,IN,Nagpur,so2,3.7
2/27/2017,IN,Nagpur,pm25,138
2/27/2017,IN,Nagpur,no2,17.6
2/27/2017,IN,Nagpur,co,9.2
2/27/2017,IN,Nagpur,pm10,77
2/27/2017,IN,Nagpur,o3,23.4
2/27/2017,IN,Nagpur,so2,4.5
2/28/2017,IN,Nagpur,pm25,129
2/28/2017,IN,Nagpur,no2,17
2/28/2017,IN,Nagpur,co,6.6
2/28/2017,IN,Nagpur,pm10,66
2/28/2017,IN,Nagpur,o3,23.9
2/28/2017,IN,Nagpur,so2,7
3/1/2017,IN,Nagpur,pm25,164
3/1/2017,IN,Nagpur,no2,27.8
3/1/2017,IN,Nagpur,co,14.3
3/1/2017,IN,Nagpur,pm10,97
3/1/2017,IN,Nagpur,o3,16.2
3/1/2017,IN,Nagpur,so2,6.1
3/2/2017,IN,Nagpur,pm25,165
