Date,Country,City,Specie,Value
4/4/2016,IN,Nagpur,no2,33.7
4/4/2016,IN,Nagpur,co,8.4
4/4/2016,IN,Nagpur,pm10,89
4/4/2016,IN,Nagpur,o3,14.7
4/4/2016,IN,Nagpur,so2,8.6
4/5/2016,IN,Nagpur,no2,18
4/5/2016,IN,Nagpur,co,4.7
4/5/2016,IN,Nagpur,pm10,74
4/5/2016,IN,Nagpur,o3,11.4
4/5/2016,IN,Nagpur,so2,5.3
4/25/2016,IN,Nagpur,no2,16.5
4/25/2016,IN,Nagpur,co,4.4
4/25/2016,IN,Nagpur,pm10,62
4/25/2016,IN,Nagpur,o3,18.3
4/25/2016,IN,Nagpur,so2,3.7
4/26/2016,IN,Nagpur,no2,19.8
4/26/2016,IN,Nagpur,co,5.1
4/26/2016,IN,Nagpur,pm10,65
4/26/2016,IN,Nagpur,o3,17.5
4/26/2016,IN,Nagpur,so2,5.7
4/27/2016,IN,Nagpur,no2,27.8
4/27/2016,IN,Nagpur,co,6.9
4/27/2016,IN,Nagpur,pm10,73
4/27/2016,IN,Nagpur,o3,14.7
4/27/2016,IN,Nagpur,so2,7.3
4/28/2016,IN,Nagpur,no2,18
4/28/2016,IN,Nagpur,co,5.5
4/28/2016,IN,Nagpur,pm10,57
4/28/2016,IN,Nagpur,o3,22.4
4/28/2016,IN,Nagpur,so2,7.3
4/29/2016,IN,Nagpur,no2,21.6
4/29/2016,IN,Nagpur,co,5.5
4/29/2016,IN,Nagpur,pm10,53
4/29/2016,IN,Nagpur,o3,16.7
4/29/2016,IN,Nagpur,so2,6.5
4/30/2016,IN,Nagpur,no2,15.4
4/30/2016,IN,Nagpur,co,4.4
4/30/2016,IN,Nagpur,pm10,52
4/30/2016,IN,Nagpur,o3,21.2
4/30/2016,IN,Nagpur,so2,4.1
5/1/2016,IN,Nagpur,no2,22.7
5/1/2016,IN,Nagpur,co,4
5/1/2016,IN,Nagpur,pm10,60
5/1/2016,IN,Nagpur,o3,7.8
5/1/2016,IN,Nagpur,so2,4.9
5/2/2016,IN,Nagpur,no2,32.2
5/2/2016,IN,Nagpur,co,6.2
5/2/2016,IN,Nagpur,pm10,65
5/2/2016,IN,Nagpur,o3,10.6
5/2/2016,IN,Nagpur,so2,4.9
5/3/2016,IN,Nagpur,no2,30
5/3/2016,IN,Nagpur,co,6.4
5/3/2016,IN,Nagpur,pm10,59
5/3/2016,IN,Nagpur,o3,18.7
5/3/2016,IN,Nagpur,so2,7.8
5/4/2016,IN,Nagpur,no2,15.4
5/4/2016,IN,Nagpur,co,4
5/4/2016,IN,Nagpur,pm10,50
5/4/2016,IN,Nagpur,o3,19.5
5/4/2016,IN,Nagpur,so2,8.6
5/5/2016,IN,Nagpur,no2,17.2
5/5/2016,IN,Nagpur,co,2.8
5/5/2016,IN,Nagpur,pm10,30
5/5/2016,IN,Nagpur,o3,16.7
5/5/2016,IN,Nagpur,so2,3.7
5/6/2016,IN,Nagpur,no2,15.4
5/6/2016,IN,Nagpur,co,3.7
