Date,Country,City,Specie,Value
5/20/2016,IN,Nagpur,o3,37.3
5/20/2016,IN,Nagpur,so2,14.8
5/21/2016,IN,Nagpur,no2,14.3
5/21/2016,IN,Nagpur,co,4.8
5/21/2016,IN,Nagpur,pm10,74.0
5/21/2016,IN,Nagpur,o3,31.5
5/21/2016,IN,Nagpur,so2,6.0
5/22/2016,IN,Nagpur,no2,24.2
5/22/2016,IN,Nagpur,co,6.9
5/22/2016,IN,Nagpur,pm10,60.0
5/22/2016,IN,Nagpur,o3,20.6
5/22/2016,IN,Nagpur,so2,4.8
5/23/2016,IN,Nagpur,no2,16.3
5/23/2016,IN,Nagpur,co,4.6
5/23/2016,IN,Nagpur,pm10,61.0
5/23/2016,IN,Nagpur,o3,20.8
5/23/2016,IN,Nagpur,so2,1.8
5/24/2016,IN,Nagpur,no2,15.3
5/24/2016,IN,Nagpur,co,5.7
5/24/2016,IN,Nagpur,pm10,62.7
5/24/2016,IN,Nagpur,o3,20.6
5/24/2016,IN,Nagpur,so2,1.7
5/25/2016,IN,Nagpur,no2,14.2
5/25/2016,IN,Nagpur,co,3.9
5/25/2016,IN,Nagpur,pm10,59.3
5/25/2016,IN,Nagpur,o3,23.2
5/25/2016,IN,Nagpur,so2,1.4
5/26/2016,IN,Nagpur,no2,27.2
5/26/2016,IN,Nagpur,co,7.8
5/26/2016,IN,Nagpur,pm10,54.0
5/26/2016,IN,Nagpur,o3,18.3
5/26/2016,IN,Nagpur,so2,7.2
5/27/2016,IN,Nagpur,no2,14.9
5/27/2016,IN,Nagpur,co,4.5
5/27/2016,IN,Nagpur,pm10,55.3
5/27/2016,IN,Nagpur,o3,22.9
5/27/2016,IN,Nagpur,so2,1.3
5/28/2016,IN,Nagpur,no2,13.0
5/28/2016,IN,Nagpur,co,4.4
5/28/2016,IN,Nagpur,pm10,48.0
5/28/2016,IN,Nagpur,o3,27.9
5/28/2016,IN,Nagpur,so2,1.6
5/29/2016,IN,Nagpur,no2,19.4
5/29/2016,IN,Nagpur,co,5.5
5/29/2016,IN,Nagpur,pm10,167.0
5/29/2016,IN,Nagpur,o3,21.0
5/29/2016,IN,Nagpur,so2,10.5
5/30/2016,IN,Nagpur,no2,19.9
5/30/2016,IN,Nagpur,co,7.0
5/30/2016,IN,Nagpur,pm10,58.3
5/30/2016,IN,Nagpur,o3,23.2
5/30/2016,IN,Nagpur,so2,11.0
5/31/2016,IN,Nagpur,no2,42.4
5/31/2016,IN,Nagpur,co,17.4
5/31/2016,IN,Nagpur,pm10,72.0
5/31/2016,IN,Nagpur,o3,28.6
5/31/2016,IN,Nagpur,so2,11.7
6/1/2016,IN,Nagpur,no2,37.5
6/1/2016,IN,Nagpur,co,13.2
6/1/2016,IN,Nagpur,pm10,76.7
6/1/2016,IN,Nagpur,o3,27.5
6/1/2016,IN,Nagpur,so2,5.2
6/2/2016,IN,Nagpur,no2,30.9
6/2/2016,IN,Nagpur,co,9.9
6/2/2016,IN,Nagpur,pm10,74.0
6/2/2016,IN,Nagpur,o3,39.1
6/2/2016,IN,Nagpur,so2,10.9
6/3/2016,IN,Nagpur,no2,40.6
6/3/2016,IN,Nagpur,co,13.7
6/3/2016,IN,Nagpur,pm10,79.7
6/3/2016,IN,Nagpur,o3,42.8
6/3/2016,IN,Nagpur,so2,15.3
6/4/2016,IN,Nagpur,no2,41.4
6/4/2016,IN,Nagpur,co,17.3
6/4/2016,IN,Nagpur,pm10,83.0
6/4/2016,IN,Nagpur,o3,52.6
6/4/2016,IN,Nagpur,so2,23.6
6/5/2016,IN,Nagpur,no2,12.5
6/5/2016,IN,Nagpur,co,5.3
6/5/2016,IN,Nagpur,pm10,59.7
6/5/2016,IN,Nagpur,o3,62.5
6/5/2016,IN,Nagpur,so2,21.9
6/6/2016,IN,Nagpur,no2,40.5
6/6/2016,IN,Nagpur,co,13.9
6/6/2016,IN,Nagpur,pm10,56.0
6/6/2016,IN,Nagpur,o3,42.6
6/6/2016,IN,Nagpur,so2,8.6
6/7/2016,IN,Nagpur,no2,30.1
6/7/2016,IN,Nagpur,co,9.1
6/7/2016,IN,Nagpur,pm10,57.7
6/7/2016,IN,Nagpur,o3,50.5
6/7/2016,IN,Nagpur,so2,11.1
6/8/2016,IN,Nagpur,no2,17.5
6/8/2016,IN,Nagpur,co,4.9
6/8/2016,IN,Nagpur,pm10,43.3
6/8/2016,IN,Nagpur,o3,43.2
6/8/2016,IN,Nagpur,so2,11.3
6/9/2016,IN,Nagpur,no2,32.3
6/9/2016,IN,Nagpur,co,9.7
6/9/2016,IN,Nagpur,pm10,56.3
6/9/2016,IN,Nagpur,o3,29.8
6/9/2016,IN,Nagpur,so2,6.7
6/10/2016,IN,Nagpur,no2,32.1
6/10/2016,IN,Nagpur,co,9.3
6/10/2016,IN,Nagpur,pm10,61.7
6/10/2016,IN,Nagpur,o3,22.5
6/10/2016,IN,Nagpur,so2,18.7
6/11/2016,IN,Nagpur,no2,23.5
6/11/2016,IN,Nagpur,co,6.8
6/11/2016,IN,Nagpur,pm10,62.7
6/11/2016,IN,Nagpur,o3,22.6
6/11/2016,IN,Nagpur,so2,4.1
6/12/2016,IN,Nagpur,no2,10.3
6/12/2016,IN,Nagpur,co,3.5
6/12/2016,IN,Nagpur,pm10,44.0
6/12/2016,IN,Nagpur,o3,31.0
6/12/2016,IN,Nagpur,so2,2.1
6/13/2016,IN,Nagpur,no2,20.4
6/13/2016,IN,Nagpur,co,7.4
6/13/2016,IN,Nagpur,pm10,61.7
6/13/2016,IN,Nagpur,o3,20.3
6/13/2016,IN,Nagpur,so2,2.9
6/14/2016,IN,Nagpur,no2,21.0
6/14/2016,IN,Nagpur,co,5.5
6/14/2016,IN,Nagpur,pm10,46.7
6/14/2016,IN,Nagpur,o3,37.8
6/14/2016,IN,Nagpur,so2,11.6
6/15/2016,IN,Nagpur,no2,47.4
6/15/2016,IN,Nagpur,co,5.9
6/15/2016,IN,Nagpur,pm10,63.0
6/15/2016,IN,Nagpur,o3,14.4
6/15/2016,IN,Nagpur,so2,3.7
6/16/2016,IN,Nagpur,no2,25.4
6/16/2016,IN,Nagpur,co,9.4
6/16/2016,IN,Nagpur,pm10,71.0
6/16/2016,IN,Nagpur,o3,16.8
6/16/2016,IN,Nagpur,so2,8.3
6/17/2016,IN,Nagpur,no2,14.3
6/17/2016,IN,Nagpur,co,5.0
6/17/2016,IN,Nagpur,pm10,68.3
6/17/2016,IN,Nagpur,o3,20.2
6/17/2016,IN,Nagpur,so2,11.0
6/18/2016,IN,Nagpur,no2,18.5
6/18/2016,IN,Nagpur,co,8.5
6/18/2016,IN,Nagpur,pm10,47.3
6/18/2016,IN,Nagpur,o3,19.7
6/18/2016,IN,Nagpur,so2,2.2
6/19/2016,IN,Nagpur,no2,14.9
6/19/2016,IN,Nagpur,co,6.3
6/19/2016,IN,Nagpur,pm10,50.7
6/19/2016,IN,Nagpur,o3,35.5
6/19/2016,IN,Nagpur,so2,1.6
6/20/2016,IN,Nagpur,no2,26.2
6/20/2016,IN,Nagpur,co,10.9
6/20/2016,IN,Nagpur,pm10,50.0
6/20/2016,IN,Nagpur,o3,25.0
6/20/2016,IN,Nagpur,so2,4.5
6/21/2016,IN,Nagpur,no2,29.2
6/21/2016,IN,Nagpur,co,11.5
6/21/2016,IN,Nagpur,pm10,40.3
6/21/2016,IN,Nagpur,o3,20.9
6/21/2016,IN,Nagpur,so2,4.3
6/22/2016,IN,Nagpur,no2,18.6
6/22/2016,IN,Nagpur,co,7.2
6/22/2016,IN,Nagpur,pm10,38.3
6/22/2016,IN,Nagpur,o3,23.9
6/22/2016,IN,Nagpur,so2,7.8
6/23/2016,IN,Nagpur,no2,12.7
6/23/2016,IN,Nagpur,co,8.0
6/23/2016,IN,Nagpur,pm10,29.0
6/23/2016,IN,Nagpur,o3,25.5
6/23/2016,IN,Nagpur,so2,2.2
6/24/2016,IN,Nagpur,no2,19.8
6/24/2016,IN,Nagpur,co,8.0
6/24/2016,IN,Nagpur,pm10,26.3
6/24/2016,IN,Nagpur,o3,19.1
6/24/2016,IN,Nagpur,so2,2.8
6/27/2016,IN,Nagpur,no2,15.5
6/27/2016,IN,Nagpur,co,7.7
6/27/2016,IN,Nagpur,pm10,35.7
6/27/2016,IN,Nagpur,o3,31.6
6/27/2016,IN,Nagpur,so2,2.0
6/28/2016,IN,Nagpur,no2,15.3
6/28/2016,IN,Nagpur,co,8.0
6/28/2016,IN,Nagpur,pm10,25.0
6/28/2016,IN,Nagpur,o3,16.2
6/28/2016,IN,Nagpur,so2,1.3
6/29/2016,IN,Nagpur,no2,14.4
6/29/2016,IN,Nagpur,co,7.4
6/29/2016,IN,Nagpur,pm10,32.0
6/29/2016,IN,Nagpur,o3,17.7
6/29/2016,IN,Nagpur,so2,1.6
6/30/2016,IN,Nagpur,no2,22.1
6/30/2016,IN,Nagpur,co,7.8
6/30/2016,IN,Nagpur,pm10,37.3
6/30/2016,IN,Nagpur,o3,18.7
6/30/2016,IN,Nagpur,so2,21.0
7/1/2016,IN,Nagpur,no2,22.1
7/1/2016,IN,Nagpur,co,13.4
7/1/2016,IN,Nagpur,pm10,40.7
7/1/2016,IN,Nagpur,o3,15.2
7/1/2016,IN,Nagpur,so2,1.2
7/2/2016,IN,Nagpur,no2,12.7
7/2/2016,IN,Nagpur,co,6.4
7/2/2016,IN,Nagpur,pm10,27.0
7/2/2016,IN,Nagpur,o3,15.4
7/2/2016,IN,Nagpur,so2,0.5
7/3/2016,IN,Nagpur,no2,11.8
7/3/2016,IN,Nagpur,co,4.5
7/3/2016,IN,Nagpur,pm10,17.3
7/3/2016,IN,Nagpur,o3,12.6
7/3/2016,IN,Nagpur,so2,0.6
12/26/2016,IN,Nagpur,pm25,141.3
12/26/2016,IN,Nagpur,no2,19.4
12/26/2016,IN,Nagpur,co,24.1
12/26/2016,IN,Nagpur,pm10,85.0
12/26/2016,IN,Nagpur,o3,24.5
12/26/2016,IN,Nagpur,so2,26.1
12/27/2016,IN,Nagpur,pm25,172.0
12/27/2016,IN,Nagpur,no2,18.6
12/27/2016,IN,Nagpur,co,24.8
12/27/2016,IN,Nagpur,pm10,100.7
12/27/2016,IN,Nagpur,o3,26.8
12/27/2016,IN,Nagpur,so2,4.1
12/28/2016,IN,Nagpur,pm25,195.0
12/28/2016,IN,Nagpur,no2,25.4
12/28/2016,IN,Nagpur,co,31.2
12/28/2016,IN,Nagpur,pm10,114.0
12/28/2016,IN,Nagpur,o3,32.4
12/28/2016,IN,Nagpur,so2,6.0
12/29/2016,IN,Nagpur,pm25,175.3
12/29/2016,IN,Nagpur,no2,25.5
12/29/2016,IN,Nagpur,co,34.2
12/29/2016,IN,Nagpur,pm10,112.0
12/29/2016,IN,Nagpur,o3,30.3
12/29/2016,IN,Nagpur,so2,4.1
12/30/2016,IN,Nagpur,pm25,186.7
12/30/2016,IN,Nagpur,no2,31.6
12/30/2016,IN,Nagpur,co,32.5
12/30/2016,IN,Nagpur,pm10,111.3
12/30/2016,IN,Nagpur,o3,39.9
12/30/2016,IN,Nagpur,so2,7.0
12/31/2016,IN,Nagpur,pm25,171.3
12/31/2016,IN,Nagpur,no2,27.0
12/31/2016,IN,Nagpur,co,43.6
12/31/2016,IN,Nagpur,pm10,109.0
12/31/2016,IN,Nagpur,o3,25.2
12/31/2016,IN,Nagpur,so2,15.5
1/1/2017,IN,Nagpur,pm25,201.7
1/1/2017,IN,Nagpur,no2,16.2
