Date,Country,City,Specie,count,min,max,median,variance
1/1/2017,IN,Hyderabad,co,48,0.2,15.8,10.5,129.36
1/1/2017,IN,Hyderabad,pm10,24,70,98,70,467.37
1/1/2017,IN,Hyderabad,o3,48,5.3,60.2,17.1,2416.21
1/1/2017,IN,Hyderabad,so2,47,0.5,77.5,3.7,1188.97
1/1/2017,IN,Hyderabad,pm25,72,114,235,157,5483.93
1/1/2017,IN,Hyderabad,no2,48,6.6,42.5,24.2,984.55
1/1/2017,IN,Delhi,co,192,0.2,372.8,19,10466.1
1/1/2017,IN,Delhi,pm10,120,65,789,164,217634
1/1/2017,IN,Delhi,o3,152,0.2,114.9,4.5,2310.55
1/1/2017,IN,Delhi,so2,190,0.9,56.2,5.7,514.65
1/1/2017,IN,Delhi,pm25,240,153,620,251,108391
1/1/2017,IN,Delhi,no2,264,4.4,80.9,21.3,2173.77
1/1/2017,IN,Chandigarh,co,20,1.9,3.7,2.6,3.05
1/1/2017,IN,Chandigarh,so2,20,0.5,5.7,1.7,18.04
1/1/2017,IN,Chandigarh,no2,20,6.3,10.7,6.6,10.09
1/1/2017,IN,Nagpur,pm25,24,144,274,187,12838
1/1/2017,IN,Nagpur,no2,24,2.4,34.4,11.7,1241.3
1/1/2017,IN,Nagpur,co,24,4.3,72.4,11.2,5255.97
1/1/2017,IN,Nagpur,pm10,24,62,181,108,12473.8
1/1/2017,IN,Nagpur,o3,24,0.2,73.1,2.1,8052.16
1/1/2017,IN,Nagpur,so2,24,0.9,18.7,3.7,202.58
1/1/2017,IN,Chennai,no2,73,1.5,20.6,7.7,190.91
1/1/2017,IN,Chennai,co,73,1.5,10.9,3.8,99.87
1/1/2017,IN,Chennai,so2,73,0.6,35.9,2.9,462.95
1/1/2017,IN,Chennai,pm25,97,9,185,108,19678
1/1/2017,IN,Chennai,o3,49,0.9,22.8,8.2,529.81
1/1/2017,IN,Mumbai,co,54,6.2,49.2,15.8,1705.4
1/1/2017,IN,Mumbai,pm10,54,29,327,85,65312.8
1/1/2017,IN,Mumbai,o3,30,2.5,10.6,5.7,39.37
1/1/2017,IN,Mumbai,so2,54,4.9,20.3,8.2,121.76
1/1/2017,IN,Mumbai,pm25,30,154,330,195,36531.8
1/1/2017,IN,Mumbai,no2,30,5.2,33.3,5.5,1038.29
1/1/2017,IN,Bengaluru,pm25,24,13,152,100,17254.2
1/1/2017,IN,Bengaluru,no2,88,4.1,60,12.5,2019.52
1/1/2017,IN,Bengaluru,co,88,1,14.3,9.2,79.26
1/1/2017,IN,Bengaluru,pm10,39,25,88,68,3862.19
1/1/2017,IN,Bengaluru,o3,49,3.7,38.5,18.3,1198.84
1/1/2017,IN,Bengaluru,so2,88,0.5,7.3,1.7,30.51
1/1/2017,IN,Kolkata,so2,24,0.5,5.7,2.9,22.1
1/1/2017,IN,Kolkata,pm25,24,191,702,298,162504
1/1/2017,IN,Kolkata,no2,38,0.4,96.5,36.2,5807.44
1/1/2017,IN,Kolkata,co,41,1.3,63.6,17,3563.52
1/1/2017,IN,Kolkata,pm10,42,54,316,119,31202.9
1/1/2017,IN,Kolkata,o3,42,0.5,17.1,1.7,254.36
1/2/2017,IN,Hyderabad,co,48,2.6,19.6,7.6,162.86
1/2/2017,IN,Hyderabad,pm10,24,55,87,71,349.49
1/2/2017,IN,Hyderabad,o3,48,2.5,84.7,14.3,4915.85
1/2/2017,IN,Hyderabad,so2,47,0.9,66.9,4.9,887.09
1/2/2017,IN,Hyderabad,pm25,72,111,195,157,2649.84
1/2/2017,IN,Hyderabad,no2,48,5.9,44.8,20.2,1106.09
1/2/2017,IN,Delhi,co,203,0.1,232.9,21.4,6139.34
1/2/2017,IN,Delhi,pm10,115,33,733,256,258778
1/2/2017,IN,Delhi,o3,171,0.5,48.9,6.5,1492.94
1/2/2017,IN,Delhi,so2,203,0.5,56.2,8,483.04
1/2/2017,IN,Delhi,pm25,249,66,824,285,139731
1/2/2017,IN,Delhi,no2,279,4.4,98.6,20.9,3815.46
1/2/2017,IN,Nagpur,pm25,24,93,200,159,12666.1
1/2/2017,IN,Nagpur,no2,24,3,28.2,8.8,624.04
1/2/2017,IN,Nagpur,co,24,5.3,46.3,9.1,914.81
1/2/2017,IN,Nagpur,pm10,24,55,122,74,3800.58
1/2/2017,IN,Nagpur,o3,24,0.2,52,34.6,3525.56
1/2/2017,IN,Nagpur,so2,24,1.3,8.2,2.3,54.05
1/2/2017,IN,Chennai,no2,90,1.8,19.9,7,172.59
1/2/2017,IN,Chennai,co,90,1.1,10.5,7.1,98.09
1/2/2017,IN,Chennai,so2,90,0.5,48.2,2.7,997.04
1/2/2017,IN,Chennai,pm25,114,28,212,96,15191.9
