Date,Country,City,Specie,count,min,max,median,variance
1/1/2020,IN,Hyderabad,o3,103,3.6,32.6,12.3,214.63
1/1/2020,IN,Hyderabad,so2,99,0.2,88.2,1.2,1658.26
1/1/2020,IN,Hyderabad,no2,113,1.9,34.6,8.8,525.85
1/1/2020,IN,Hyderabad,co,98,2.6,12.8,5.7,68.53
1/1/2020,IN,Hyderabad,pm10,86,35,112,55,2057.75
1/1/2020,IN,Hyderabad,pm25,127,64,161,112,7154.03
1/1/2020,IN,Delhi,humidity,24,68.4,99.1,96,1486.3
1/1/2020,IN,Delhi,so2,845,0.1,127.7,6,1283.68
1/1/2020,IN,Delhi,pm25,874,102,999,392,314482
1/1/2020,IN,Delhi,no2,881,0.1,102.7,21.1,4069.31
1/1/2020,IN,Delhi,pm10,822,20,999,342,711807
1/1/2020,IN,Delhi,wind speed,24,0.5,2.6,0.8,4.89
1/1/2020,IN,Delhi,o3,839,0.1,153.1,4.7,2159.83
1/1/2020,IN,Delhi,wind-speed,24,0.5,2.6,0.8,4.89
1/1/2020,IN,Delhi,dew,19,5,10,7,30.79
1/1/2020,IN,Delhi,co,864,0.1,148.2,22.6,5743.53
1/1/2020,IN,Delhi,temperature,24,4.2,16.8,10.6,198.31
1/1/2020,IN,Delhi,pressure,24,1019,1023,1020.5,15
1/1/2020,IN,Chandigarh,o3,95,0.1,52.9,5.7,1308.15
1/1/2020,IN,Chandigarh,so2,91,0.1,63.1,4.9,1157.59
1/1/2020,IN,Chandigarh,pm25,96,58,217,164,18058.2
1/1/2020,IN,Chandigarh,pm10,72,58,397,117,25942.1
1/1/2020,IN,Chandigarh,no2,95,3,73.8,11.2,2340.12
1/1/2020,IN,Chandigarh,co,96,0.1,34.6,8.4,460.12
1/1/2020,IN,Nagpur,so2,24,0.8,7.8,1.7,34.23
1/1/2020,IN,Nagpur,pm10,24,30,72,53,1575.2
1/1/2020,IN,Nagpur,o3,24,2.3,12.7,5.7,87.09
1/1/2020,IN,Nagpur,pm25,24,59,126,87,4361.14
1/1/2020,IN,Nagpur,no2,24,6.3,30.8,10.2,532.16
1/1/2020,IN,Nagpur,co,24,1.6,10.7,2.5,77.91
1/1/2020,IN,Chennai,so2,72,0.2,30.3,2.8,337.23
1/1/2020,IN,Chennai,pm25,96,7,157,68,10268
1/1/2020,IN,Chennai,no2,72,0.3,15.3,3.9,157.65
1/1/2020,IN,Chennai,co,72,2.1,9.7,3.9,30.24
1/1/2020,IN,Chennai,pm10,24,16,63,33,1396.07
1/1/2020,IN,Chennai,o3,72,0.3,17.9,8.4,314.88
1/1/2020,IN,Mumbai,co,325,2.5,29,11.2,312.15
1/1/2020,IN,Mumbai,o3,281,1,118.2,8.7,4900.43
1/1/2020,IN,Mumbai,so2,327,1.2,55.3,5,488.99
1/1/2020,IN,Mumbai,pm25,310,66,824,179,58199
1/1/2020,IN,Mumbai,pm10,309,51,286,111,11821.1
1/1/2020,IN,Mumbai,no2,304,0.3,79.4,21.3,1853.31
1/1/2020,IN,Bengaluru,co,180,1.2,40.2,9.8,246.08
1/1/2020,IN,Bengaluru,o3,120,3.4,32.1,13.2,435.88
1/1/2020,IN,Bengaluru,so2,179,0.3,10.5,4.3,57.03
1/1/2020,IN,Bengaluru,pm10,133,30,94,57,1385.64
1/1/2020,IN,Bengaluru,pm25,144,30,157,89,8643.84
1/1/2020,IN,Bengaluru,no2,167,3.1,41.1,12.7,458.55
1/1/2020,IN,Kolkata,so2,166,1.1,63,6.1,1313.82
1/1/2020,IN,Kolkata,pm25,192,154,999,198,165145
1/1/2020,IN,Kolkata,no2,168,9,71.1,32.2,1871.14
1/1/2020,IN,Kolkata,co,168,2.1,65.9,12,1833.01
1/1/2020,IN,Kolkata,o3,168,0.6,50.4,5.1,1705.21
1/1/2020,IN,Kolkata,pm10,168,92,999,153,205881
1/2/2020,IN,Hyderabad,o3,108,1.6,34.7,9.6,262.99
1/2/2020,IN,Hyderabad,so2,105,0.2,60.2,1.2,363.39
1/2/2020,IN,Hyderabad,no2,108,1.9,29.7,11,576.37
1/2/2020,IN,Hyderabad,co,107,0.8,15,4.6,101.98
1/2/2020,IN,Hyderabad,pm10,92,21,98,45,2718.43
1/2/2020,IN,Hyderabad,pm25,132,25,160,85,9423.59
1/2/2020,IN,Delhi,humidity,29,51.7,99.1,82,2776.85
1/2/2020,IN,Delhi,so2,862,0.1,138.7,7,1335.14
1/2/2020,IN,Delhi,pm25,881,101,920,349,225998
1/2/2020,IN,Delhi,no2,893,0.1,115.1,21,4492.76
1/2/2020,IN,Delhi,pm10,842,1,999,305,522509
1/2/2020,IN,Delhi,wind speed,24,0.5,1.6,0.7,1.4
1/2/2020,IN,Delhi,o3,856,0.1,137.7,3.8,1760.4
1/2/2020,IN,Delhi,wind-speed,24,0.5,1.6,0.7,1.4
1/2/2020,IN,Delhi,dew,23,7,11,9.5,19.08
1/2/2020,IN,Delhi,co,888,0.1,134.1,24.3,5310.93
1/2/2020,IN,Delhi,temperature,35,7.6,22.3,15.5,223.2
1/2/2020,IN,Delhi,pressure,29,1018.5,1023,1020,14.9
1/2/2020,IN,Chandigarh,o3,96,0.1,44.1,4.9,689.56
1/2/2020,IN,Chandigarh,so2,92,0.9,32.8,6.8,378.59
1/2/2020,IN,Chandigarh,pm25,96,14,203,156,24330.3
1/2/2020,IN,Chandigarh,pm10,72,28,174,105,10583.7
1/2/2020,IN,Chandigarh,no2,96,2.6,53.8,12,1830.13
1/2/2020,IN,Chandigarh,co,96,0.3,33.3,8.2,390.24
1/2/2020,IN,Nagpur,so2,23,1.5,5.3,2.5,10.21
1/2/2020,IN,Nagpur,pm10,24,19,67,51,1611.29
1/2/2020,IN,Nagpur,o3,24,1.8,7.6,4.1,21.34
1/2/2020,IN,Nagpur,pm25,24,53,145,79,7838.19
1/2/2020,IN,Nagpur,no2,23,5.5,22,16.4,340.34
1/2/2020,IN,Nagpur,co,24,1.3,7.5,3.9,50.29
1/2/2020,IN,Chennai,so2,72,0.4,9.6,2.8,32.83
1/2/2020,IN,Chennai,pm25,92,4,180,63,11573.9
1/2/2020,IN,Chennai,no2,72,0.1,11.3,5.1,102.25
1/2/2020,IN,Chennai,co,72,2.7,14,4,64.56
1/2/2020,IN,Chennai,pm10,15,6,38,19,1061.24
1/2/2020,IN,Chennai,o3,70,1.1,15.9,8.2,346.16
1/2/2020,IN,Mumbai,co,321,1,23.6,8.9,251.74
1/2/2020,IN,Mumbai,o3,279,1.5,86.1,15.2,2348.15
1/2/2020,IN,Mumbai,so2,327,0.7,59.9,4.4,571.26
1/2/2020,IN,Mumbai,pm25,303,66,271,180,8204.18
1/2/2020,IN,Mumbai,pm10,327,37,195,104,12668.6
1/2/2020,IN,Mumbai,no2,300,0.1,58.3,19.5,1529.59
1/2/2020,IN,Bengaluru,co,192,0.2,60.3,9.3,570.86
1/2/2020,IN,Bengaluru,o3,131,0.1,48.5,10.1,804.11
1/2/2020,IN,Bengaluru,so2,190,0.4,7.9,4.2,31.3
1/2/2020,IN,Bengaluru,pm10,135,6,127,52,5819.57
1/2/2020,IN,Bengaluru,pm25,155,8,190,77,13401.2
1/2/2020,IN,Bengaluru,no2,192,1.7,37.5,12.6,616.08
1/2/2020,IN,Bengaluru,wind-gust,11,26.2,26.2,26.2,0
1/2/2020,IN,Bengaluru,wind gust,11,26.2,26.2,26.2,0
1/2/2020,IN,Kolkata,so2,180,2,53.7,7.5,688.84
1/2/2020,IN,Kolkata,pm25,203,82,326,187,13444
1/2/2020,IN,Kolkata,no2,180,7.3,82.8,25.8,1492.56
1/2/2020,IN,Kolkata,co,180,2.1,78.1,9.5,1816.65
1/2/2020,IN,Kolkata,o3,180,0.5,56.1,4.8,1830.49
1/2/2020,IN,Kolkata,pm10,179,61,999,142,103547
1/3/2020,IN,Hyderabad,wind-speed,77,0.3,3.8,1.2,6.09
